,mod_ID,hist_id,PLOT,INVYR,hist_town,hist_location,mod_location,closest,mod_distance,oaks.wt,whiteOak,swampWhiteOak,redOak,chestnutOak,blackOak,hist_latitude,LAT,closest_climate_position,avg_tair_1811,avg_tair_2009,avg_qair_1811,avg_qair_2009,avg_psurf_1811,avg_psurf_2009,avg_precipf_1811,avg_precipf_2009,total_FIA_oak
636,636,5,1969,2010,OldTownCty,"(44.9, -68.71)","(44.96076, -68.77748)","(44.9, -68.71)",8.60061109838768,0.043165,0.0,0.0,0.0,0.0,0.0,44.9,44.96076,"(44.75, -68.75)",277.0437466556079,278.57282861160905,0.004848391961183488,0.005202438120693494,99353.41361836472,99334.54549978596,2.7454380357384052e-05,4.0104838145033935e-05,0.0
637,637,591,1936,2010,,"(45.17, -68.68)","(45.093, -68.77171)","(45.17, -68.68)",11.192715858657074,0.043307,0.0,0.0,0.0,0.0,0.0,45.17,45.093,"(45.25, -68.75)",276.3648104837496,277.7319772380672,0.004712195423741022,0.004995206998177109,99210.88636558219,99201.65698844178,2.819197814007103e-05,3.913591186295882e-05,0.0
639,639,570,1960,2010,,"(45.721, -68.629)","(45.78118, -68.77081)","(45.721, -68.629)",12.903254453525719,0.0,0.0,0.0,0.0,0.0,0.0,45.721,45.78118,"(45.75, -68.75)",275.60160788967187,276.88446877884536,0.004509344495982777,0.004769138194906016,99062.56602097602,99055.89602418664,2.7919820539996275e-05,3.7727002199560846e-05,0.0
640,640,528,2005,2010,,"(46.604, -68.621)","(46.24277, -68.76845)","(46.604, -68.621)",41.72322794300557,0.0,0.0,0.0,0.0,0.0,0.0,46.604,46.24277,"(46.25, -68.75)",275.48376525460856,276.56153382601804,0.004426552374585649,0.004659678911860365,98267.10253638698,98275.10730415239,2.6753303417048572e-05,3.540535773605276e-05,0.0
641,641,562,1316,2010,Stacyville,"(45.89597, -68.4966)","(46.00207, -68.76783)","(45.89597, -68.4966)",24.11061114169217,0.0,0.0,0.0,0.0,0.0,0.0,45.89597,46.00207,"(46.25, -68.75)",275.48376525460856,276.56153382601804,0.004426552374585649,0.004659678911860365,98267.10253638698,98275.10730415239,2.6753303417048572e-05,3.540535773605276e-05,0.0
642,642,1011,1698,2010,,"(45.28, -68.86)","(45.29131, -68.76294)","(45.28, -68.86)",7.717797494464103,0.038462,0.0,0.0,0.0,0.0,0.0,45.28,45.29131,"(45.25, -68.75)",276.3648104837496,277.7319772380672,0.004712195423741022,0.004995206998177109,99210.88636558219,99201.65698844178,2.819197814007103e-05,3.913591186295882e-05,0.0
643,643,528,1284,2010,,"(46.604, -68.621)","(46.93538, -68.76076)","(46.604, -68.621)",38.35386058731063,0.0,0.0,0.0,0.0,0.0,0.0,46.604,46.93538,"(46.75, -68.75)",275.19748348079315,276.2370721999913,0.004351713814356393,0.004617931017188035,98130.11025791951,98140.52351241438,2.6928279341100758e-05,3.4564759607001644e-05,0.0
644,644,528,1284,2010,,"(46.604, -68.621)","(46.93538, -68.76076)","(46.604, -68.621)",38.35386058731063,0.0,0.0,0.0,0.0,0.0,0.0,46.604,46.93538,"(46.75, -68.75)",275.19748348079315,276.2370721999913,0.004351713814356393,0.004617931017188035,98130.11025791951,98140.52351241438,2.6928279341100758e-05,3.4564759607001644e-05,0.0
645,645,528,1162,2010,,"(46.604, -68.621)","(46.70314, -68.75984)","(46.604, -68.621)",15.310306354109876,0.0,0.0,0.0,0.0,0.0,0.0,46.604,46.70314,"(46.75, -68.75)",275.19748348079315,276.2370721999913,0.004351713814356393,0.004617931017188035,98130.11025791951,98140.52351241438,2.6928279341100758e-05,3.4564759607001644e-05,0.0
646,646,570,967,2010,,"(45.721, -68.629)","(45.53084, -68.75972)","(45.721, -68.629)",23.465124040862083,0.0,0.0,0.0,0.0,0.0,0.0,45.721,45.53084,"(45.75, -68.75)",275.60160788967187,276.88446877884536,0.004509344495982777,0.004769138194906016,99062.56602097602,99055.89602418664,2.7919820539996275e-05,3.7727002199560846e-05,0.0
