"","unique.id","town.name","state","latitude","longitude","oaks.wt"
"282",562,"Stacyville","ME",45.89597,-68.4966,0
"283",563,"T3R13","ME",45.8796,-69.40497,0
"284",564,NA,NA,45.84,-69.74,0
"285",565,"Orient","ME",45.82,-67.85,0
"286",566,NA,NA,45.80767,-68.3267,0
"287",567,"T2R13","ME",45.7981,-69.4196,0
"288",568,"SoldierTownTwp","ME",45.7946,-69.9821,0
"289",569,NA,NA,45.786,-68.07,0
"290",570,NA,NA,45.721,-68.629,0
"291",573,NA,NA,45.676,-68.374,0
"292",575,NA,NA,45.64,-69.87,0
"293",576,"LongPondTwp","ME",45.63,-70.08,0
"294",577,"Jackman","ME",45.60645,-70.18909,0
"295",578,NA,NA,45.56,-70.52,0
"296",579,NA,NA,45.538233,-68.3705,0.015873
"297",580,NA,NA,45.51,-69.37,0
"298",581,"Winn","ME",45.471,-68.345,0.007353
"299",582,"Kossuth","ME",45.43313,-67.92417,0
"300",583,"KibbyTwp","ME",45.3618,-70.5538,0
"301",584,"Waite","ME",45.3563,-67.63225,0
"302",585,NA,NA,45.3478,-68.142,0
"303",587,"AlderstreamTWp","ME",45.25446,-70.63631,0
"304",588,"Burlington","ME",45.2324,-68.3828,0
"305",589,"Lowell","ME",45.2272,-68.487,0
"306",590,"Eustis","ME",45.18,-70.49,0
"307",591,NA,NA,45.17,-68.68,0.043307
"308",592,"StetsonTownTwp","ME",45.161,-70.7466,0
"309",593,"UpperCupsuptic","ME",45.11,-70.94,0
"310",594,"CoplinPlt","ME",45.06,-70.45,0
"311",595,"DavisTwp","ME",45.03,-70.69,0
"312",596,"ConcordTwp","ME",45.016167,-69.889085,0.020619
"313",597,"Clarksville","NH",45.00613,-71.29574,0
"314",600,"HIGHGATE","VT",44.97,-72.99,0.018868
"315",601,"Coventry Leg","VT",44.9512,-72.3036,0
"316",602,NA,NA,44.95,-67.22,0
"317",603,"Embden","ME",44.924335,-69.871485,0.01
"318",604,"WARNER'S GRANT","VT",44.88,-72.04,0
"319",605,"EastportCty","ME",44.84,-67.02,0
"320",607,"ENOSBURG","VT",44.83,-72.76,0.009009
"321",609,NA,NA,44.79,-71.66,0
"322",610,"Errol","NH",44.77,-71.14,0
"323",611,"Ervings Location","NH",44.7631,-71.271,0
"324",612,"Palmyra","ME",44.75,-69.31,0.021505
"325",613,NA,NA,44.75,-67.16,0
"326",614,NA,NA,44.75,-71.79,0
"327",615,"Cannan","ME",44.747,-69.6792,0.060241
"328",618,"FAIRFAX","VT",44.7,-73.02,0.005556
"329",619,"BARTON","VT",44.69,-72.23,0
"330",620,"Jonesboro","ME",44.66,-67.59,0
"331",621,"Coits Gore","VT",44.645,-72.837,0
"332",622,"Roxbury","ME",44.6418,-70.59992,0
"333",623,"Frankfort","ME",44.63,-68.9,0.030172
"334",626,NA,NA,44.61,-68.31,0
"335",627,"Jackson","ME",44.6,-69.2,0
"336",628,"WESTFORD","VT",44.5933,-73.03,0
"337",629,"WOLCOTT","VT",44.57,-72.46,0
"338",630,"Rumford","ME",44.54214,-70.622741,0.040586
"339",632,NA,NA,44.52,-68.89,0.003185
"340",633,"Davistown","ME",44.45,-69.28,0
"341",635,"WALDEN","VT",44.48,-72.24,0
"342",636,"Lancaster","NH",44.473,-71.56,0
"343",637,"GRANBY","VT",44.4705,-71.7202,0
"344",638,"Penobscot","ME",44.46,-68.75,0.096774
"345",640,"DANVILLE","VT",44.4317,-72.1583,0
"346",641,"Trenton","ME",44.42,-68.54,0.093023
"347",642,"North Elba","NY",44.4,-73.875,0.010753
"348",644,"SHELBURNE","VT",44.385,-73.21,0.032787
"349",645,"Davistown","ME",44.37,-69.34,0
"350",646,NA,NA,44.36,-68.28,0.052632
"351",647,NA,"unknown",44.34,-74.03,0
"352",648,"PEACHAM","VT",44.33,-72.2,0
"353",649,"Alexandria","NY",44.3017,-75.84333,0.041353
"354",650,"Bethlehem","NH",44.2817,-71.6917,0
"355",651,"Crawfords Purcha","NH",44.2767,-71.4083,0
"356",654,"Norway","ME",44.2258,-70.6071,0.09
"357",655,"Hope","ME",44.22,-69.15,0.084746
"358",656,"Waterford","ME",44.1997,-70.7258,0.035088
"359",658,"MONKTON","VT",44.18,-73.1,0.015707
"360",659,"Cape Vincent","NY",44.15,-76.2038,0.116105
"361",661,"Waldoboro","ME",44.1087,-69.3912,0.08046
"362",662,"Diana","NY",44.10467,-75.379,0
"363",663,"FAYSTON","VT",44.1028,-72.8528,0
"364",664,"Franconia","NH",44.1,-71.66,0
"365",665,"Friendship (Medo","ME",44.1,-69.14,0.112245
"366",666,"Deferiet","NY",44.0992,-75.6862,0.00641
"367",667,NA,NA,44.0967,-73.675,0.006024
"368",669,"New Milford","ME",44.0693,-69.6881,0.236559
"369",670,"Fryeburg","ME",44.0541,-70.9425,0.195584
"370",672,"Bartlett","NH",44.04,-71.2433,0.025157
"371",674,"Conway","NH",44.0183,-71.0717,0.078231
"372",675,"Woodstock","NH",44,-71.73,0
"373",677,"Georgetown","ME",43.96,-69.79,0.24581
"374",678,"Bristol","ME",43.9508,-69.4973,0.227273
"375",679,"Rutland","NY",43.95,-75.79,0.034274
"376",680,"Watertown","NY",43.94,-75.92,0
"377",681,"Brownfield","ME",43.9546,-70.8576,0.130435
"378",682,"Porter","ME",43.8447,-70.8805,0.088889
"379",685,"Georgetown","ME",43.8464,-69.7886,0.179348
"380",686,"North Yarmouth","ME",43.8433,-70.1763,0.069519
"381",687,"Pickney","NY",43.84,-75.78,0
"382",688,"Campton","NH",43.82,-71.65,0.019231
"383",690,NA,NA,43.7933,-74.575,0
"384",691,"Holderness","NH",43.74,-71.5883,0.382022
"385",692,"Ossipee","NH",43.74,-71.1,0.116667
"386",693,"Lorraine","NY",43.74,-75.91,0
"387",694,"Plymouth","NH",43.7374,-71.72766,0.067114
"388",696,"Martinsburg","NY",43.72,-75.53,0
"389",697,"PITTSFORD","VT",43.71,-73.0333,0.058881
"390",699,"Brantingham Trac","NY",43.66,-75.28,0
"391",700,"Boylston","NY",43.65,-75.97,0
"392",701,"Lebanon","NH",43.6433,-72.2617,0.041431
"393",702,"Osceola","NY",43.638,-75.6877,0
"394",706,"Cornish","NH",43.53,-72.16,0
"395",707,"Port Leyden","NY",43.53,-75.4,0
"396",708,"Osceola","NY",43.53,-75.7,0
"397",709,"Redfield","NY",43.53,-75.83,0
"398",712,"Campbell","NY",43.49,-73.53,0.078212
"399",713,"Lewis","NY",43.47,-75.59,0
"400",715,"Gilmanton","NH",43.4564,-71.411,0.115942
"401",716,"Kingsbury","NY",43.41,-73.51,0.036145
"402",717,"LUDLOW","VT",43.407,-72.7636,0.00295
"403",718,"Salisbury","NH",43.38,-71.77,0.138807
"404",719,"Amboy","NY",43.3785,-75.9369,0
"405",720,"Strafford","NH",43.23,-71.073,0.227273
"406",721,"Barnstead","NH",43.37,-71.23,0.214286
"407",722,"Loudon","NH",43.352,-71.55,0.184615
"408",724,"Berwick","ME",43.32,-70.81,0.42
"409",725,"Boscawen","NH",43.31,-71.69,0.257373
"410",726,NA,NA,43.2813,-73.3266,0.045455
"411",727,"Warner","NH",43.27,-71.83,0.067754
"412",728,"S. Glens Falls","NY",43.25,-73.73,0.267442
"413",734,"Lempster","NH",43.2305,-72.1836,0
"414",735,"Washington","NH",43.23,-71.95,0.017857
"415",737,"Hillsborough","NH",43.19,-72.07,0
"416",738,"Pembroke","NH",43.1817,-71.4483,0.322857
"417",739,"Corinth","NY",43.18,-73.87,0.086207
"418",742,"York","ME",43.165,-70.66,0.315565
"419",743,"Salem","NY",43.1629,-73.3177,0.055556
"420",746,"Irondequoit","NY",43.22,-77.57,0.226244
"421",749,"Kittery","ME",43.13,-70.76,0.322222
"422",757,"Francestown","NH",43.05,-71.97,0.053691
"423",758,"Kayad#14","NY",43.05,-74,0.047945
"424",760,"Stoddard","NH",43.02,-72.11,0.135747
"425",762,"Chester","NH",43.01,-71.28,0.240883
"426",770,"Bristol","NY",42.82,-77.47,0.186441
"427",772,"Greenfield","NH",42.91,-71.81,0.155556
"428",773,"Bethany","NY",42.91,-78.16,0
"429",778,"Londonderry","NH",42.8717,-71.3617,0.433775
"430",779,"AMESBURY","MA",42.87,-70.99,0.658914
"431",783,"Hinsdale","NH",42.8,-72.42,0.159218
"432",784,NA,NA,42.8,-71.1,0.601307
"433",786,"Duanesburg","NY",42.7928,-74.2046,0.064935
"434",788,"Petersburg","NY",42.7817,-73.3317,0.238806
"435",789,NA,NA,42.73,-74.72,0.01626
"436",790,NA,NA,42.73,-75.14,0
"437",796,"TOWNSEND","MA",42.68,-71.75,0.236111
"438",798,"ANDOVER","MA",42.6578,-71.1313,0.720901
"439",801,NA,NA,42.62,-74.26,0.323276
"440",802,"Italy","NY",42.63,-77.31,0.533333
"441",804,NA,NA,42.61,-74.62,0.01983
"442",809,"Arcade","NY",42.56,-78.33,0
"443",810,"Machias","NY",42.56,-78.54,0
"444",812,"Pulteney","NY",42.53,-77.18,0.347369
"445",814,"Westerlo","NY",42.5067,-74.045,0.006826
"446",815,NA,NA,42.4933,-74.2033,0.044335
"447",816,NA,NA,42.48,-74.32,0
"448",821,"Bath","NY",42.45,-77.3,0.357143
"449",822,"Pike","NY",42.38,-78.16,0.057471
"450",824,"Machias","NY",42.38,-78.54,0
"451",828,"Stamford","NY",42.3701,-74.6185,0
"452",830,NA,NA,42.37,-74.137,0.069061
"453",837,NA,NA,42.2582,-75.5247,0.057971
"454",838,"New Kingston (39",NA,42.2575,-74.7221,0.015625
"455",839,NA,NA,42.24,-75.18,0.029412
"456",840,"Jewett (22-23)",NA,42.238,-74.307,0.00346
